node,owned_edges,dist_sum,cost,p
0,49,49.0,73.5,0.024
1,48,49.0,73.0,0.02383673469387755
2,47,49.0,72.5,0.0236734693877551
3,46,49.0,72.0,0.023510204081632652
4,45,49.0,71.5,0.023346938775510206
5,44,49.0,71.0,0.023183673469387756
6,43,49.0,70.5,0.023020408163265307
7,42,49.0,70.0,0.022857142857142857
8,41,49.0,69.5,0.022693877551020408
9,40,49.0,69.0,0.022530612244897958
10,39,49.0,68.5,0.02236734693877551
11,38,49.0,68.0,0.022204081632653062
12,37,49.0,67.5,0.022040816326530613
13,36,49.0,67.0,0.021877551020408163
14,35,49.0,66.5,0.021714285714285714
15,34,49.0,66.0,0.021551020408163264
16,33,49.0,65.5,0.021387755102040815
17,32,49.0,65.0,0.02122448979591837
18,31,49.0,64.5,0.02106122448979592
19,30,49.0,64.0,0.02089795918367347
20,29,49.0,63.5,0.02073469387755102
21,28,49.0,63.0,0.02057142857142857
22,27,49.0,62.5,0.02040816326530612
23,26,49.0,62.0,0.020244897959183675
24,25,49.0,61.5,0.020081632653061225
25,24,49.0,61.0,0.019918367346938776
26,23,49.0,60.5,0.019755102040816326
27,22,49.0,60.0,0.019591836734693877
28,21,49.0,59.5,0.019428571428571427
29,20,49.0,59.0,0.01926530612244898
30,19,49.0,58.5,0.01910204081632653
31,18,49.0,58.0,0.018938775510204082
32,17,49.0,57.5,0.018775510204081632
33,16,49.0,57.0,0.018612244897959183
34,15,49.0,56.5,0.018448979591836733
35,14,49.0,56.0,0.018285714285714287
36,13,49.0,55.5,0.018122448979591838
37,12,49.0,55.0,0.017959183673469388
38,11,49.0,54.5,0.01779591836734694
39,10,49.0,54.0,0.01763265306122449
40,9,49.0,53.5,0.01746938775510204
41,8,49.0,53.0,0.017306122448979593
42,7,49.0,52.5,0.017142857142857144
43,6,49.0,52.0,0.016979591836734694
44,5,49.0,51.5,0.016816326530612245
45,4,49.0,51.0,0.016653061224489795
46,3,49.0,50.5,0.016489795918367346
47,2,49.0,50.0,0.0163265306122449
48,1,49.0,49.5,0.01616326530612245
49,0,49.0,49.0,0.016
