node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.05547445255474453
1,5,32.0,37.0,0.05401459854014599
2,3,34.0,37.0,0.05401459854014599
3,5,32.0,37.0,0.05401459854014599
4,2,35.0,37.0,0.05401459854014599
5,8,28.0,36.0,0.052554744525547446
6,5,31.0,36.0,0.052554744525547446
7,4,31.0,35.0,0.051094890510948905
8,5,29.0,34.0,0.049635036496350364
9,3,29.0,32.0,0.04671532846715328
10,6,28.0,34.0,0.049635036496350364
11,2,30.0,32.0,0.04671532846715328
12,2,30.0,32.0,0.04671532846715328
13,1,31.0,32.0,0.04671532846715328
14,3,28.0,31.0,0.04525547445255475
15,1,31.0,32.0,0.04671532846715328
16,1,34.0,35.0,0.051094890510948905
17,0,34.0,34.0,0.049635036496350364
18,0,29.0,29.0,0.042335766423357665
19,0,35.0,35.0,0.051094890510948905
