u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
1,4,1
1,5,1
1,12,1
1,19,1
2,3,2
2,8,2
2,10,2
2,12,2
2,15,2
2,16,2
2,17,2
3,5,3
3,8,3
3,10,3
3,11,3
3,13,3
4,7,4
4,8,4
4,13,4
4,14,4
4,18,4
5,6,5
5,10,5
5,11,5
5,13,5
5,16,5
5,17,5
6,7,6
6,8,6
6,10,6
6,15,6
6,19,6
7,8,7
7,12,7
7,16,7
9,14,9
9,17,9
10,15,10
10,18,10
10,19,10
11,12,11
12,18,12
13,15,13
13,19,13
15,17,15
15,19,15
16,17,16
16,19,16
17,18,17
17,19,17
