node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.05483405483405483
1,6,31.0,37.0,0.05339105339105339
2,5,32.0,37.0,0.05339105339105339
3,2,35.0,37.0,0.05339105339105339
4,4,33.0,37.0,0.05339105339105339
5,3,33.0,36.0,0.05194805194805195
6,6,28.0,34.0,0.049062049062049064
7,2,34.0,36.0,0.05194805194805195
8,2,33.0,35.0,0.050505050505050504
9,4,29.0,33.0,0.047619047619047616
10,2,33.0,35.0,0.050505050505050504
11,2,32.0,34.0,0.049062049062049064
12,2,34.0,36.0,0.05194805194805195
13,4,31.0,35.0,0.050505050505050504
14,0,36.0,36.0,0.05194805194805195
15,2,32.0,34.0,0.049062049062049064
16,1,28.0,29.0,0.04184704184704185
17,1,28.0,29.0,0.04184704184704185
18,0,30.0,30.0,0.04329004329004329
19,0,35.0,35.0,0.050505050505050504
