node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.054441260744985676
1,5,32.0,37.0,0.05300859598853868
2,4,33.0,37.0,0.05300859598853868
3,2,35.0,37.0,0.05300859598853868
4,6,31.0,37.0,0.05300859598853868
5,3,33.0,36.0,0.05157593123209169
6,4,30.0,34.0,0.04871060171919771
7,3,32.0,35.0,0.050143266475644696
8,2,34.0,36.0,0.05157593123209169
9,2,34.0,36.0,0.05157593123209169
10,4,32.0,36.0,0.05157593123209169
11,3,31.0,34.0,0.04871060171919771
12,1,34.0,35.0,0.050143266475644696
13,1,31.0,32.0,0.045845272206303724
14,0,34.0,34.0,0.04871060171919771
15,1,35.0,36.0,0.05157593123209169
16,1,35.0,36.0,0.05157593123209169
17,0,30.0,30.0,0.04297994269340974
18,1,31.0,32.0,0.045845272206303724
19,0,30.0,30.0,0.04297994269340974
