node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.054441260744985676
1,4,33.0,37.0,0.05300859598853868
2,4,32.0,36.0,0.05157593123209169
3,6,30.0,36.0,0.05157593123209169
4,3,33.0,36.0,0.05157593123209169
5,4,33.0,37.0,0.05300859598853868
6,4,33.0,37.0,0.05300859598853868
7,1,35.0,36.0,0.05157593123209169
8,2,33.0,35.0,0.050143266475644696
9,3,32.0,35.0,0.050143266475644696
10,4,30.0,34.0,0.04871060171919771
11,3,31.0,34.0,0.04871060171919771
12,1,29.0,30.0,0.04297994269340974
13,1,35.0,36.0,0.05157593123209169
14,0,34.0,34.0,0.04871060171919771
15,2,30.0,32.0,0.045845272206303724
16,0,35.0,35.0,0.050143266475644696
17,1,32.0,33.0,0.04727793696275072
18,0,34.0,34.0,0.04871060171919771
19,0,33.0,33.0,0.04727793696275072
