node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.054519368723098996
1,6,31.0,37.0,0.05308464849354376
2,5,32.0,37.0,0.05308464849354376
3,5,30.0,35.0,0.05021520803443329
4,2,34.0,36.0,0.05164992826398852
5,4,31.0,35.0,0.05021520803443329
6,4,33.0,37.0,0.05308464849354376
7,4,32.0,36.0,0.05164992826398852
8,3,33.0,36.0,0.05164992826398852
9,3,32.0,35.0,0.05021520803443329
10,3,32.0,35.0,0.05021520803443329
11,1,32.0,33.0,0.047345767575322814
12,2,31.0,33.0,0.047345767575322814
13,1,34.0,35.0,0.05021520803443329
14,1,32.0,33.0,0.047345767575322814
15,0,36.0,36.0,0.05164992826398852
16,0,32.0,32.0,0.04591104734576758
17,0,35.0,35.0,0.05021520803443329
18,0,31.0,31.0,0.04447632711621234
19,0,32.0,32.0,0.04591104734576758
