node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.054285714285714284
1,4,33.0,37.0,0.05285714285714286
2,6,31.0,37.0,0.05285714285714286
3,3,33.0,36.0,0.05142857142857143
4,4,33.0,37.0,0.05285714285714286
5,1,35.0,36.0,0.05142857142857143
6,5,32.0,37.0,0.05285714285714286
7,3,32.0,35.0,0.05
8,1,34.0,35.0,0.05
9,1,35.0,36.0,0.05142857142857143
10,3,32.0,35.0,0.05
11,1,34.0,35.0,0.05
12,3,31.0,34.0,0.04857142857142857
13,3,31.0,34.0,0.04857142857142857
14,0,34.0,34.0,0.04857142857142857
15,1,34.0,35.0,0.05
16,1,31.0,32.0,0.045714285714285714
17,1,31.0,32.0,0.045714285714285714
18,0,33.0,33.0,0.047142857142857146
19,0,32.0,32.0,0.045714285714285714
