node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.054285714285714284
1,3,34.0,37.0,0.05285714285714286
2,5,32.0,37.0,0.05285714285714286
3,4,33.0,37.0,0.05285714285714286
4,0,37.0,37.0,0.05285714285714286
5,1,35.0,36.0,0.05142857142857143
6,6,30.0,36.0,0.05142857142857143
7,4,30.0,34.0,0.04857142857142857
8,5,31.0,36.0,0.05142857142857143
9,3,32.0,35.0,0.05
10,2,34.0,36.0,0.05142857142857143
11,3,34.0,37.0,0.05285714285714286
12,1,33.0,34.0,0.04857142857142857
13,2,34.0,36.0,0.05142857142857143
14,0,32.0,32.0,0.045714285714285714
15,1,32.0,33.0,0.047142857142857146
16,0,32.0,32.0,0.045714285714285714
17,1,30.0,31.0,0.04428571428571428
18,0,34.0,34.0,0.04857142857142857
19,0,32.0,32.0,0.045714285714285714
