node,owned_edges,dist_sum,cost,p
0,19,19.0,38.0,0.05397727272727273
1,6,31.0,37.0,0.052556818181818184
2,1,36.0,37.0,0.052556818181818184
3,4,33.0,37.0,0.052556818181818184
4,2,33.0,35.0,0.04971590909090909
5,2,33.0,35.0,0.04971590909090909
6,3,34.0,37.0,0.052556818181818184
7,5,31.0,36.0,0.05113636363636364
8,2,33.0,35.0,0.04971590909090909
9,2,34.0,36.0,0.05113636363636364
10,1,36.0,37.0,0.052556818181818184
11,2,34.0,36.0,0.05113636363636364
12,3,31.0,34.0,0.048295454545454544
13,1,32.0,33.0,0.046875
14,1,31.0,32.0,0.045454545454545456
15,1,31.0,32.0,0.045454545454545456
16,1,33.0,34.0,0.048295454545454544
17,0,36.0,36.0,0.05113636363636364
18,0,34.0,34.0,0.048295454545454544
19,0,33.0,33.0,0.046875
