u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,14,1
1,17,1
1,23,1
1,39,1
1,55,1
1,64,1
1,67,1
1,69,1
1,81,1
1,89,1
2,34,2
2,36,2
2,69,2
2,73,2
2,75,2
2,77,2
2,93,2
2,97,2
3,9,3
3,18,3
3,21,3
3,22,3
3,25,3
3,35,3
3,61,3
3,62,3
3,64,3
3,68,3
3,73,3
3,80,3
4,18,4
4,24,4
4,41,4
4,47,4
4,63,4
4,69,4
4,73,4
4,75,4
4,79,4
4,80,4
4,89,4
4,94,4
5,6,5
5,10,5
5,15,5
5,19,5
5,27,5
5,34,5
5,96,5
6,28,6
6,40,6
6,48,6
6,49,6
6,58,6
6,90,6
6,92,6
7,18,7
7,21,7
7,51,7
7,62,7
7,63,7
7,64,7
7,70,7
7,80,7
7,94,7
8,23,8
8,39,8
8,44,8
8,63,8
8,87,8
8,97,8
9,14,9
9,23,9
9,48,9
9,57,9
9,58,9
9,78,9
9,97,9
10,12,10
10,20,10
10,24,10
10,39,10
10,51,10
10,63,10
11,13,11
11,14,11
11,15,11
11,17,11
11,43,11
11,51,11
11,53,11
11,54,11
11,60,11
11,62,11
11,67,11
11,69,11
11,72,11
11,79,11
11,82,11
11,84,11
12,17,12
12,28,12
12,66,12
12,69,12
12,76,12
12,79,12
12,81,12
12,87,12
12,99,12
13,30,13
13,35,13
13,36,13
13,84,13
13,86,13
14,19,14
14,22,14
14,23,14
14,29,14
14,33,14
14,50,14
14,56,14
14,94,14
15,17,15
15,20,15
15,27,15
15,36,15
15,47,15
15,55,15
15,71,15
15,73,15
15,81,15
15,88,15
16,26,16
16,57,16
16,64,16
16,70,16
16,73,16
16,78,16
17,24,17
17,25,17
17,37,17
17,40,17
17,44,17
17,50,17
17,56,17
17,76,17
18,26,18
18,31,18
18,33,18
18,57,18
18,63,18
18,72,18
18,75,18
18,91,18
18,99,18
19,20,19
19,64,19
19,74,19
19,92,19
19,96,19
20,39,20
20,42,20
20,46,20
20,47,20
20,51,20
20,63,20
20,77,20
20,80,20
20,94,20
21,25,21
21,28,21
21,31,21
21,38,21
21,44,21
21,49,21
21,78,21
21,89,21
21,99,21
22,49,22
22,57,22
22,60,22
22,65,22
22,71,22
22,79,22
22,84,22
23,24,23
23,26,23
23,46,23
23,52,23
23,54,23
23,57,23
23,61,23
23,69,23
23,74,23
23,78,23
23,99,23
24,31,24
24,34,24
