u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,17,1
1,27,1
1,32,1
1,37,1
1,44,1
1,49,1
1,51,1
1,56,1
1,62,1
1,64,1
1,85,1
2,6,2
2,10,2
2,11,2
2,26,2
2,32,2
2,36,2
2,60,2
2,62,2
2,74,2
2,91,2
2,98,2
3,9,3
3,10,3
3,11,3
3,18,3
3,42,3
3,50,3
3,51,3
3,78,3
3,86,3
3,98,3
4,6,4
4,11,4
4,22,4
4,28,4
4,44,4
4,54,4
4,58,4
4,64,4
4,84,4
4,87,4
4,90,4
5,9,5
5,33,5
5,34,5
5,80,5
5,88,5
6,29,6
6,41,6
6,51,6
6,56,6
6,89,6
7,24,7
7,51,7
7,60,7
7,65,7
7,89,7
8,13,8
8,14,8
8,19,8
8,32,8
8,34,8
8,39,8
8,40,8
8,44,8
8,58,8
8,72,8
8,90,8
8,93,8
9,11,9
9,12,9
9,31,9
9,40,9
9,59,9
9,64,9
9,65,9
9,68,9
9,80,9
9,88,9
9,90,9
9,96,9
9,98,9
10,11,10
10,20,10
10,22,10
10,35,10
10,41,10
10,52,10
10,58,10
10,88,10
10,97,10
11,31,11
11,41,11
11,43,11
11,60,11
11,61,11
12,21,12
12,22,12
12,32,12
12,42,12
12,44,12
12,72,12
13,21,13
13,23,13
13,27,13
13,35,13
13,40,13
13,50,13
13,55,13
13,59,13
13,72,13
13,78,13
13,88,13
14,18,14
14,26,14
14,33,14
14,38,14
14,39,14
14,65,14
14,78,14
14,90,14
14,99,14
15,48,15
15,65,15
15,66,15
15,70,15
15,96,15
16,29,16
16,39,16
16,49,16
16,71,16
16,74,16
16,79,16
16,93,16
16,95,16
17,20,17
17,37,17
17,62,17
17,64,17
17,74,17
18,19,18
18,29,18
18,48,18
18,53,18
18,88,18
18,95,18
19,22,19
19,26,19
19,40,19
19,45,19
19,50,19
19,52,19
19,55,19
19,68,19
19,69,19
19,70,19
19,73,19
19,75,19
19,98,19
20,34,20
20,45,20
20,50,20
20,53,20
20,72,20
20,77,20
20,89,20
20,92,20
21,25,21
21,34,21
21,54,21
21,59,21
21,73,21
21,75,21
21,79,21
21,84,21
21,94,21
22,35,22
22,47,22
22,48,22
22,49,22
22,51,22
22,52,22
22,61,22
22,69,22
22,85,22
22,89,22
22,91,22
23,50,23
23,52,23
23,67,23
23,75,23
23,77,23
23,81,23
23,91,23
23,97,23
24,43,24
24,50,24
