u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,4,1
1,19,1
1,28,1
1,44,1
1,52,1
1,62,1
1,65,1
1,66,1
1,70,1
1,81,1
1,96,1
1,97,1
2,15,2
2,39,2
2,43,2
2,46,2
2,51,2
2,60,2
2,66,2
2,70,2
2,74,2
2,79,2
2,83,2
2,93,2
3,4,3
3,9,3
3,10,3
3,20,3
3,53,3
3,56,3
3,76,3
4,7,4
4,21,4
4,71,4
4,72,4
4,76,4
4,77,4
4,83,4
4,97,4
5,6,5
5,8,5
5,12,5
5,25,5
5,57,5
5,60,5
5,61,5
5,66,5
5,69,5
5,73,5
5,77,5
5,84,5
6,12,6
6,19,6
6,35,6
6,40,6
6,43,6
6,57,6
6,68,6
6,72,6
6,88,6
6,92,6
6,93,6
6,95,6
7,10,7
7,11,7
7,23,7
7,34,7
7,39,7
7,60,7
7,64,7
7,73,7
7,83,7
8,14,8
8,21,8
8,31,8
8,34,8
8,64,8
8,67,8
8,73,8
8,76,8
8,79,8
8,83,8
9,16,9
9,18,9
9,33,9
9,51,9
9,57,9
9,59,9
9,99,9
10,15,10
10,31,10
10,35,10
10,39,10
10,43,10
10,50,10
10,56,10
10,62,10
10,65,10
10,79,10
11,41,11
11,56,11
11,72,11
11,89,11
11,92,11
11,94,11
11,96,11
11,97,11
11,98,11
12,27,12
12,29,12
12,31,12
12,36,12
12,49,12
12,69,12
12,80,12
12,84,12
12,88,12
13,18,13
13,28,13
13,40,13
13,57,13
13,58,13
13,59,13
13,62,13
13,64,13
13,67,13
13,93,13
13,94,13
14,16,14
14,18,14
14,22,14
14,33,14
14,44,14
14,49,14
14,65,14
14,69,14
14,74,14
14,85,14
14,99,14
15,24,15
15,26,15
15,31,15
15,46,15
15,73,15
15,75,15
15,88,15
16,17,16
16,25,16
16,30,16
16,42,16
16,50,16
16,63,16
16,72,16
16,78,16
16,79,16
16,85,16
16,86,16
16,95,16
17,28,17
17,32,17
17,44,17
17,46,17
17,56,17
17,66,17
17,69,17
17,71,17
17,73,17
17,84,17
17,93,17
18,21,18
18,27,18
18,35,18
18,65,18
18,72,18
18,88,18
19,22,19
19,56,19
19,64,19
19,69,19
19,74,19
19,80,19
19,92,19
19,97,19
20,25,20
20,27,20
20,42,20
20,55,20
20,64,20
20,68,20
20,69,20
20,76,20
20,77,20
20,83,20
20,87,20
20,92,20
20,95,20
20,99,20
21,24,21
