u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,4,1
1,27,1
1,40,1
1,62,1
1,83,1
2,8,2
2,9,2
2,13,2
2,39,2
2,63,2
2,67,2
2,85,2
3,7,3
3,10,3
3,42,3
3,43,3
3,63,3
3,64,3
3,67,3
3,72,3
3,73,3
3,86,3
3,93,3
3,95,3
3,99,3
4,15,4
4,36,4
4,47,4
4,55,4
4,57,4
4,58,4
4,65,4
4,75,4
4,77,4
4,95,4
5,21,5
5,25,5
5,28,5
5,35,5
5,36,5
5,37,5
5,40,5
5,48,5
5,53,5
5,54,5
5,83,5
5,85,5
5,86,5
6,9,6
6,13,6
6,15,6
6,29,6
6,37,6
6,55,6
6,74,6
6,77,6
6,79,6
6,90,6
7,15,7
7,21,7
7,23,7
7,25,7
7,30,7
7,33,7
7,43,7
7,47,7
7,53,7
7,54,7
7,73,7
7,77,7
7,82,7
7,87,7
7,90,7
7,95,7
7,96,7
8,13,8
8,15,8
8,21,8
8,22,8
8,29,8
8,50,8
8,61,8
8,80,8
8,89,8
8,91,8
9,10,9
9,17,9
9,35,9
9,48,9
9,61,9
9,65,9
9,86,9
10,14,10
10,47,10
10,50,10
10,79,10
10,87,10
10,91,10
10,92,10
11,16,11
11,24,11
11,29,11
11,41,11
11,42,11
11,45,11
11,53,11
11,56,11
11,63,11
11,72,11
11,73,11
11,92,11
12,15,12
12,34,12
12,40,12
12,41,12
12,56,12
12,66,12
12,79,12
12,92,12
12,94,12
12,98,12
12,99,12
13,17,13
13,31,13
13,32,13
13,37,13
13,42,13
13,55,13
13,58,13
13,72,13
13,86,13
13,97,13
14,19,14
14,23,14
14,35,14
14,72,14
15,23,15
15,35,15
15,46,15
15,52,15
15,54,15
15,62,15
15,65,15
15,79,15
15,81,15
15,93,15
15,97,15
16,42,16
16,45,16
16,52,16
16,58,16
16,60,16
16,63,16
16,66,16
16,67,16
16,68,16
17,31,17
17,33,17
17,41,17
17,64,17
17,68,17
18,34,18
18,42,18
18,47,18
18,49,18
18,82,18
18,99,18
19,21,19
19,42,19
19,45,19
19,57,19
19,60,19
19,70,19
19,84,19
19,86,19
19,95,19
19,96,19
20,55,20
20,58,20
20,63,20
20,68,20
20,76,20
20,89,20
20,94,20
21,28,21
21,50,21
21,51,21
21,57,21
21,61,21
21,64,21
21,74,21
21,76,21
21,84,21
21,88,21
21,99,21
22,45,22
22,50,22
22,83,22
