0	18
0	27
1	6
2	38
2	91
3	19
4	94
4	61
5	96
6	93
6	61
6	43
7	25
8	75
8	20
9	32
10	21
11	15
11	80
11	23
12	49
13	16
13	87
14	22
14	64
17	71
17	90
17	51
19	35
19	21
20	60
20	53
21	78
21	29
23	43
24	77
24	36
25	49
25	68
25	88
25	43
25	79
26	76
26	41
27	98
28	88
29	99
30	44
31	65
32	42
32	64
32	37
32	85
33	36
33	47
34	76
35	87
35	79
37	65
38	67
39	57
39	58
40	45
40	46
40	52
40	57
41	88
42	56
44	48
44	96
47	65
50	76
51	82
52	91
53	84
54	73
55	59
58	70
59	81
62	96
63	71
66	75
69	84
70	93
72	78
73	88
74	83
74	81
76	82
81	98
83	84
85	89
85	94
86	95
86	99
90	97
92	96
94	98
96	98
