0	19
0	43
0	69
1	23
1	62
2	51
3	72
3	35
4	37
4	84
5	17
6	50
6	20
7	30
7	65
7	46
7	52
8	61
9	27
9	89
9	21
10	15
10	43
11	90
12	84
13	29
14	95
16	39
16	42
16	86
17	64
18	96
20	60
20	49
21	87
21	76
22	78
22	24
24	51
24	40
25	36
25	94
25	57
26	86
26	99
28	79
28	85
29	41
30	47
31	90
32	49
33	35
34	41
35	98
35	64
37	77
37	57
38	46
40	59
40	57
41	99
42	76
44	58
44	69
45	54
45	85
46	63
46	84
48	59
49	62
52	86
53	81
54	91
54	92
55	87
56	62
56	68
58	64
59	61
61	69
64	67
66	70
66	69
67	73
67	97
68	71
68	77
74	96
74	93
75	97
79	88
80	83
80	89
81	93
82	90
85	89
90	91
93	97
95	97
