0	12
0	68
1	98
1	73
2	81
3	81
4	7
4	10
4	64
5	92
6	70
6	83
6	97
6	51
8	35
9	30
9	35
10	47
11	70
12	52
12	80
12	85
13	32
14	17
14	63
15	72
15	29
16	17
17	51
18	69
19	57
20	29
21	94
22	97
23	35
24	94
25	54
25	97
26	48
26	64
26	94
26	39
27	44
28	50
28	33
29	45
29	75
30	56
31	49
31	40
31	96
31	77
32	75
32	95
33	66
34	80
35	62
35	69
35	59
35	98
36	53
36	95
36	84
37	51
38	46
38	49
39	99
40	87
41	70
42	88
43	95
44	61
47	71
47	93
49	82
54	58
55	89
55	67
57	74
57	78
57	64
59	86
60	81
60	73
61	70
63	79
65	70
66	95
67	91
68	93
70	76
72	92
73	88
77	83
78	90
78	84
79	89
88	94
91	92
