0	6
1	45
2	63
2	35
3	19
4	10
5	57
5	16
6	81
6	33
7	83
8	67
8	62
9	27
9	33
9	84
9	18
10	62
10	60
10	18
11	55
12	90
12	93
12	16
13	15
13	83
13	30
13	48
13	73
14	18
16	87
16	91
17	44
18	26
18	71
18	19
19	98
20	27
21	31
21	89
21	40
22	60
23	44
23	52
24	86
24	29
25	46
25	76
27	77
28	35
29	97
29	65
30	32
32	40
34	58
34	96
35	93
36	63
37	69
37	79
37	89
38	68
38	92
38	65
39	80
39	52
39	74
41	42
41	44
42	54
42	95
43	56
43	74
45	53
45	71
46	55
47	70
47	83
48	61
49	70
50	73
50	53
51	91
51	86
52	96
56	65
59	76
60	76
61	74
64	72
66	88
66	71
71	72
73	78
73	82
75	94
75	80
85	96
98	99
