0	68
1	85
2	56
3	25
3	65
3	52
3	41
3	23
4	87
5	75
6	16
6	18
6	14
7	66
8	88
8	86
9	27
10	34
11	44
12	58
12	60
12	73
12	98
13	34
14	72
14	74
14	67
15	35
17	51
17	79
17	52
19	27
19	45
19	23
20	54
20	28
21	91
21	71
22	67
22	40
23	47
24	75
24	57
26	89
28	29
29	66
29	86
29	96
30	95
31	52
32	59
32	42
32	83
33	95
34	87
34	78
35	89
35	70
36	38
36	48
37	80
37	56
39	45
40	82
41	56
41	78
42	49
43	69
44	47
44	63
46	50
46	70
48	68
48	88
49	95
53	73
55	56
56	64
57	76
57	79
61	94
62	86
63	84
69	71
70	84
71	81
73	93
74	90
77	86
81	85
81	94
82	92
83	88
84	85
92	94
93	94
96	97
97	98
98	99
