u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,8,1
1,12,1
1,14,1
1,20,1
1,24,1
2,7,2
2,8,2
2,13,2
2,25,2
3,10,3
3,38,3
3,47,3
4,6,4
5,14,5
5,30,5
5,46,5
6,17,6
6,33,6
6,35,6
7,12,7
7,33,7
7,40,7
8,14,8
8,27,8
8,36,8
8,38,8
8,48,8
9,10,9
9,17,9
9,29,9
9,38,9
9,39,9
10,15,10
10,26,10
10,36,10
10,46,10
10,47,10
11,15,11
11,20,11
11,29,11
12,13,12
12,26,12
12,27,12
12,34,12
12,48,12
13,19,13
13,24,13
13,36,13
13,43,13
13,49,13
14,16,14
14,22,14
15,25,15
15,45,15
15,46,15
15,49,15
17,23,17
17,25,17
17,49,17
18,34,18
18,35,18
18,46,18
19,27,19
19,30,19
19,40,19
20,45,20
21,48,21
22,25,22
22,44,22
23,33,23
23,39,23
23,40,23
24,27,24
24,37,24
24,44,24
24,49,24
25,35,25
25,43,25
25,45,25
25,49,25
26,27,26
26,40,26
26,44,26
27,28,27
27,31,27
27,32,27
28,30,28
28,38,28
28,48,28
29,30,29
29,35,29
29,45,29
30,33,30
30,39,30
30,40,30
31,32,31
31,41,31
31,44,31
31,47,31
32,35,32
32,46,32
33,41,33
33,46,33
35,46,35
36,44,36
37,41,37
39,40,39
39,43,39
39,44,39
40,43,40
40,46,40
41,46,41
41,49,41
43,44,43
45,48,45
46,49,46
