node,owned_edges,dist_sum,cost,p
0,49,49.0,147.0,0.03
1,6,91.0,103.0,0.021020408163265305
2,5,92.0,102.0,0.020816326530612245
3,6,91.0,103.0,0.021020408163265305
4,5,92.0,102.0,0.020816326530612245
5,7,90.0,104.0,0.02122448979591837
6,7,90.0,104.0,0.02122448979591837
7,2,94.0,98.0,0.02
8,6,90.0,102.0,0.020816326530612245
9,5,92.0,102.0,0.020816326530612245
10,0,95.0,95.0,0.019387755102040816
11,2,93.0,97.0,0.01979591836734694
12,7,88.0,102.0,0.020816326530612245
13,3,94.0,100.0,0.02040816326530612
14,4,90.0,98.0,0.02
15,4,91.0,99.0,0.02020408163265306
16,3,93.0,99.0,0.02020408163265306
17,5,89.0,99.0,0.02020408163265306
18,4,90.0,98.0,0.02
19,1,95.0,97.0,0.01979591836734694
20,2,94.0,98.0,0.02
21,3,94.0,100.0,0.02040816326530612
22,3,93.0,99.0,0.02020408163265306
23,2,95.0,99.0,0.02020408163265306
24,2,92.0,96.0,0.019591836734693877
25,1,91.0,93.0,0.018979591836734692
26,2,94.0,98.0,0.02
27,2,89.0,93.0,0.018979591836734692
28,3,92.0,98.0,0.02
29,1,93.0,95.0,0.019387755102040816
30,3,91.0,97.0,0.01979591836734694
31,1,90.0,92.0,0.018775510204081632
32,3,91.0,97.0,0.01979591836734694
33,3,90.0,96.0,0.019591836734693877
34,0,93.0,93.0,0.018979591836734692
35,1,92.0,94.0,0.019183673469387756
36,2,93.0,97.0,0.01979591836734694
37,2,91.0,95.0,0.019387755102040816
38,1,91.0,93.0,0.018979591836734692
39,0,92.0,92.0,0.018775510204081632
40,1,93.0,95.0,0.019387755102040816
41,0,93.0,93.0,0.018979591836734692
42,1,93.0,95.0,0.019387755102040816
43,0,94.0,94.0,0.019183673469387756
44,0,93.0,93.0,0.018979591836734692
45,0,94.0,94.0,0.019183673469387756
46,1,92.0,94.0,0.019183673469387756
47,0,96.0,96.0,0.019591836734693877
48,0,91.0,91.0,0.018571428571428572
49,0,89.0,89.0,0.018163265306122448
