node,owned_edges,dist_sum,cost,p
0,49,49.0,147.0,0.03
1,2,95.0,99.0,0.02020408163265306
2,6,91.0,103.0,0.021020408163265305
3,4,93.0,101.0,0.020612244897959184
4,9,88.0,106.0,0.02163265306122449
5,3,94.0,100.0,0.02040816326530612
6,4,92.0,100.0,0.02040816326530612
7,4,92.0,100.0,0.02040816326530612
8,3,92.0,98.0,0.02
9,4,93.0,101.0,0.020612244897959184
10,6,91.0,103.0,0.021020408163265305
11,2,93.0,97.0,0.01979591836734694
12,4,92.0,100.0,0.02040816326530612
13,4,92.0,100.0,0.02040816326530612
14,4,92.0,100.0,0.02040816326530612
15,6,88.0,100.0,0.02040816326530612
16,1,95.0,97.0,0.01979591836734694
17,5,90.0,100.0,0.02040816326530612
18,4,92.0,100.0,0.02040816326530612
19,4,92.0,100.0,0.02040816326530612
20,4,90.0,98.0,0.02
21,2,94.0,98.0,0.02
22,5,89.0,99.0,0.02020408163265306
23,5,86.0,96.0,0.019591836734693877
24,3,91.0,97.0,0.01979591836734694
25,1,94.0,96.0,0.019591836734693877
26,3,90.0,96.0,0.019591836734693877
27,3,92.0,98.0,0.02
28,2,90.0,94.0,0.019183673469387756
29,4,91.0,99.0,0.02020408163265306
30,3,91.0,97.0,0.01979591836734694
31,0,94.0,94.0,0.019183673469387756
32,3,90.0,96.0,0.019591836734693877
33,0,92.0,92.0,0.018775510204081632
34,0,92.0,92.0,0.018775510204081632
35,4,86.0,94.0,0.019183673469387756
36,1,94.0,96.0,0.019591836734693877
37,2,90.0,94.0,0.019183673469387756
38,3,90.0,96.0,0.019591836734693877
39,0,92.0,92.0,0.018775510204081632
40,0,89.0,89.0,0.018163265306122448
41,0,93.0,93.0,0.018979591836734692
42,0,96.0,96.0,0.019591836734693877
43,1,94.0,96.0,0.019591836734693877
44,0,96.0,96.0,0.019591836734693877
45,0,94.0,94.0,0.019183673469387756
46,1,91.0,93.0,0.018979591836734692
47,0,93.0,93.0,0.018979591836734692
48,0,92.0,92.0,0.018775510204081632
49,0,92.0,92.0,0.018775510204081632
