u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,9,1
1,23,1
1,24,1
1,38,1
1,39,1
1,42,1
1,43,1
1,44,1
1,49,1
2,11,2
2,25,2
2,28,2
2,41,2
3,9,3
3,28,3
3,39,3
3,43,3
4,20,4
4,27,4
4,37,4
4,42,4
5,44,5
6,9,6
6,22,6
6,41,6
7,8,7
7,20,7
7,23,7
7,24,7
7,45,7
7,47,7
8,16,8
8,23,8
9,27,9
9,28,9
9,41,9
9,47,9
9,48,9
10,36,10
10,39,10
10,43,10
11,18,11
11,33,11
11,35,11
11,36,11
11,48,11
12,14,12
12,18,12
12,20,12
12,22,12
12,28,12
12,32,12
12,33,12
12,48,12
14,19,14
14,40,14
14,46,14
15,16,15
15,29,15
15,40,15
15,46,15
17,28,17
17,33,17
17,35,17
17,44,17
18,20,18
18,31,18
18,33,18
18,35,18
18,43,18
18,45,18
19,21,19
19,27,19
19,30,19
19,38,19
19,41,19
19,43,19
20,23,20
20,25,20
21,27,21
21,33,21
21,35,21
21,45,21
22,26,22
22,41,22
23,24,23
23,28,23
23,37,23
23,39,23
23,45,23
24,34,24
24,38,24
24,46,24
25,40,25
25,49,25
26,48,26
27,43,27
27,45,27
28,48,28
29,30,29
29,34,29
29,46,29
29,49,29
30,35,30
33,37,33
34,39,34
36,37,36
36,44,36
37,43,37
37,44,37
38,40,38
38,41,38
39,40,39
41,42,41
42,47,42
43,47,43
46,47,46
47,49,47
