node,owned_edges,dist_sum,cost,p
0,49,49.0,98.0,0.021514818880351262
1,10,87.0,97.0,0.02129527991218441
2,11,86.0,97.0,0.02129527991218441
3,7,90.0,97.0,0.02129527991218441
4,13,83.0,96.0,0.021075740944017565
5,11,85.0,96.0,0.021075740944017565
6,10,85.0,95.0,0.020856201975850714
7,11,83.0,94.0,0.020636663007683863
8,11,84.0,95.0,0.020856201975850714
9,12,84.0,96.0,0.021075740944017565
10,8,85.0,93.0,0.020417124039517013
11,10,85.0,95.0,0.020856201975850714
12,6,87.0,93.0,0.020417124039517013
13,12,82.0,94.0,0.020636663007683863
14,12,80.0,92.0,0.020197585071350166
15,13,83.0,96.0,0.021075740944017565
16,7,86.0,93.0,0.020417124039517013
17,8,84.0,92.0,0.020197585071350166
18,7,88.0,95.0,0.020856201975850714
19,10,85.0,95.0,0.020856201975850714
20,7,86.0,93.0,0.020417124039517013
21,7,87.0,94.0,0.020636663007683863
22,8,77.0,85.0,0.018660812294182216
23,5,83.0,88.0,0.019319429198682767
24,6,85.0,91.0,0.019978046103183315
25,5,89.0,94.0,0.020636663007683863
26,10,77.0,87.0,0.019099890230515917
27,6,88.0,94.0,0.020636663007683863
28,6,85.0,91.0,0.019978046103183315
29,5,87.0,92.0,0.020197585071350166
30,6,84.0,90.0,0.019758507135016465
31,3,90.0,93.0,0.020417124039517013
32,5,83.0,88.0,0.019319429198682767
33,2,83.0,85.0,0.018660812294182216
34,5,84.0,89.0,0.019538968166849614
35,4,86.0,90.0,0.019758507135016465
36,2,86.0,88.0,0.019319429198682767
37,1,90.0,91.0,0.019978046103183315
38,4,85.0,89.0,0.019538968166849614
39,2,87.0,89.0,0.019538968166849614
40,1,83.0,84.0,0.01844127332601537
41,2,83.0,85.0,0.018660812294182216
42,1,79.0,80.0,0.01756311745334797
43,0,87.0,87.0,0.019099890230515917
44,1,86.0,87.0,0.019099890230515917
45,1,89.0,90.0,0.019758507135016465
46,2,85.0,87.0,0.019099890230515917
47,0,86.0,86.0,0.018880351262349066
48,0,82.0,82.0,0.018002195389681667
49,0,87.0,87.0,0.019099890230515917
