u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,2,1
1,5,1
1,10,1
1,19,1
1,33,1
1,34,1
1,36,1
1,40,1
1,41,1
1,43,1
1,47,1
1,49,1
2,5,2
2,14,2
2,17,2
2,26,2
2,32,2
2,38,2
3,24,3
3,25,3
3,28,3
3,33,3
3,43,3
3,46,3
3,47,3
4,16,4
4,17,4
4,26,4
4,36,4
4,40,4
4,42,4
4,45,4
4,49,4
5,7,5
5,8,5
5,14,5
5,22,5
5,23,5
5,28,5
5,29,5
5,38,5
5,39,5
5,43,5
5,45,5
5,46,5
5,49,5
6,9,6
6,11,6
6,16,6
6,24,6
6,26,6
6,28,6
6,29,6
6,48,6
6,49,6
7,11,7
7,13,7
7,16,7
7,17,7
7,30,7
7,34,7
7,40,7
7,47,7
7,48,7
8,21,8
8,22,8
8,27,8
8,33,8
8,34,8
8,37,8
8,39,8
8,45,8
9,12,9
9,15,9
9,17,9
9,19,9
9,20,9
9,23,9
9,28,9
9,29,9
9,30,9
9,43,9
9,48,9
9,49,9
10,15,10
10,16,10
10,24,10
10,30,10
10,32,10
10,34,10
10,35,10
10,39,10
10,42,10
10,46,10
11,12,11
11,29,11
11,30,11
11,34,11
11,41,11
11,43,11
11,44,11
12,17,12
12,21,12
12,31,12
12,34,12
12,44,12
12,46,12
13,22,13
13,44,13
13,46,13
13,47,13
14,26,14
14,28,14
14,38,14
14,41,14
14,42,14
14,48,14
15,19,15
15,30,15
15,32,15
15,34,15
15,35,15
15,41,15
15,45,15
15,46,15
15,48,15
16,20,16
16,28,16
16,36,16
16,37,16
16,39,16
16,43,16
16,46,16
16,47,16
17,18,17
17,19,17
17,20,17
17,35,17
17,39,17
17,48,17
18,26,18
18,27,18
18,32,18
18,37,18
18,39,18
18,44,18
19,33,19
19,36,19
19,37,19
19,43,19
20,21,20
20,26,20
20,27,20
20,30,20
20,31,20
20,41,20
20,44,20
20,45,20
21,27,21
21,28,21
21,29,21
21,34,21
21,35,21
21,36,21
21,43,21
21,49,21
22,23,22
22,24,22
22,25,22
22,30,22
22,34,22
22,38,22
22,39,22
22,40,22
22,41,22
23,26,23
23,30,23
23,33,23
23,34,23
23,35,23
23,40,23
23,43,23
23,45,23
24,28,24
24,30,24
24,32,24
24,36,24
24,37,24
24,38,24
24,39,24
24,49,24
25,28,25
25,36,25
25,44,25
25,48,25
26,30,26
26,32,26
26,36,26
26,40,26
26,42,26
26,44,26
26,45,26
26,48,26
27,32,27
27,44,27
27,46,27
28,32,28
28,36,28
28,42,28
28,43,28
28,45,28
28,47,28
29,31,29
29,34,29
29,35,29
29,38,29
29,41,29
30,32,30
30,33,30
30,35,30
30,36,30
30,43,30
30,47,30
30,48,30
30,49,30
31,33,31
31,34,31
31,36,31
31,39,31
31,40,31
31,41,31
31,43,31
32,40,32
33,38,33
33,46,33
33,47,33
33,49,33
34,36,34
35,47,35
35,48,35
35,49,35
36,39,36
36,49,36
37,46,37
37,48,37
38,42,38
38,43,38
38,46,38
38,49,38
39,41,39
39,46,39
40,43,40
40,44,40
41,42,41
41,46,41
41,48,41
42,47,42
42,49,42
43,49,43
44,48,44
44,49,44
46,47,46
46,48,46
46,49,46
47,48,47
47,49,47
