node,owned_edges,dist_sum,cost,p
0,49,49.0,98.0,0.021514818880351262
1,17,80.0,97.0,0.02129527991218441
2,7,90.0,97.0,0.02129527991218441
3,13,83.0,96.0,0.021075740944017565
4,7,89.0,96.0,0.021075740944017565
5,13,84.0,97.0,0.02129527991218441
6,14,80.0,94.0,0.020636663007683863
7,8,88.0,96.0,0.021075740944017565
8,12,84.0,96.0,0.021075740944017565
9,13,82.0,95.0,0.020856201975850714
10,9,85.0,94.0,0.020636663007683863
11,10,86.0,96.0,0.021075740944017565
12,11,84.0,95.0,0.020856201975850714
13,11,84.0,95.0,0.020856201975850714
14,8,84.0,92.0,0.020197585071350166
15,6,85.0,91.0,0.019978046103183315
16,10,81.0,91.0,0.019978046103183315
17,11,81.0,92.0,0.020197585071350166
18,9,84.0,93.0,0.020417124039517013
19,3,91.0,94.0,0.020636663007683863
20,4,89.0,93.0,0.020417124039517013
21,5,89.0,94.0,0.020636663007683863
22,6,83.0,89.0,0.019538968166849614
23,8,85.0,93.0,0.020417124039517013
24,7,84.0,91.0,0.019978046103183315
25,6,86.0,92.0,0.020197585071350166
26,6,85.0,91.0,0.019978046103183315
27,4,83.0,87.0,0.019099890230515917
28,4,86.0,90.0,0.019758507135016465
29,4,84.0,88.0,0.019319429198682767
30,3,87.0,90.0,0.019758507135016465
31,6,85.0,91.0,0.019978046103183315
32,3,86.0,89.0,0.019538968166849614
33,5,88.0,93.0,0.020417124039517013
34,4,85.0,89.0,0.019538968166849614
35,8,78.0,86.0,0.018880351262349066
36,3,90.0,93.0,0.020417124039517013
37,2,89.0,91.0,0.019978046103183315
38,3,85.0,88.0,0.019319429198682767
39,2,84.0,86.0,0.018880351262349066
40,2,87.0,89.0,0.019538968166849614
41,1,87.0,88.0,0.019319429198682767
42,1,83.0,84.0,0.01844127332601537
43,1,83.0,84.0,0.01844127332601537
44,1,87.0,88.0,0.019319429198682767
45,2,83.0,85.0,0.018660812294182216
46,1,89.0,90.0,0.019758507135016465
47,1,82.0,83.0,0.018221734357848518
48,1,82.0,83.0,0.018221734357848518
49,0,82.0,82.0,0.018002195389681667
