node,owned_edges,dist_sum,cost,p
0,49,49.0,98.0,0.02149122807017544
1,9,88.0,97.0,0.021271929824561404
2,13,83.0,96.0,0.021052631578947368
3,12,83.0,95.0,0.020833333333333332
4,12,84.0,96.0,0.021052631578947368
5,7,89.0,96.0,0.021052631578947368
6,11,85.0,96.0,0.021052631578947368
7,15,81.0,96.0,0.021052631578947368
8,9,86.0,95.0,0.020833333333333332
9,7,87.0,94.0,0.0206140350877193
10,8,86.0,94.0,0.0206140350877193
11,10,82.0,92.0,0.02017543859649123
12,7,88.0,95.0,0.020833333333333332
13,6,88.0,94.0,0.0206140350877193
14,15,80.0,95.0,0.020833333333333332
15,11,83.0,94.0,0.0206140350877193
16,6,88.0,94.0,0.0206140350877193
17,4,89.0,93.0,0.020394736842105264
18,6,89.0,95.0,0.020833333333333332
19,6,87.0,93.0,0.020394736842105264
20,9,87.0,96.0,0.021052631578947368
21,7,85.0,92.0,0.02017543859649123
22,5,88.0,93.0,0.020394736842105264
23,7,85.0,92.0,0.02017543859649123
24,7,87.0,94.0,0.0206140350877193
25,5,83.0,88.0,0.01929824561403509
26,7,87.0,94.0,0.0206140350877193
27,11,81.0,92.0,0.02017543859649123
28,7,82.0,89.0,0.019517543859649124
29,3,84.0,87.0,0.019078947368421053
30,7,81.0,88.0,0.01929824561403509
31,4,86.0,90.0,0.019736842105263157
32,4,84.0,88.0,0.01929824561403509
33,4,82.0,86.0,0.018859649122807017
34,3,83.0,86.0,0.018859649122807017
35,4,83.0,87.0,0.019078947368421053
36,5,82.0,87.0,0.019078947368421053
37,3,90.0,93.0,0.020394736842105264
38,2,85.0,87.0,0.019078947368421053
39,2,86.0,88.0,0.01929824561403509
40,0,90.0,90.0,0.019736842105263157
41,1,87.0,88.0,0.01929824561403509
42,1,85.0,86.0,0.018859649122807017
43,3,86.0,89.0,0.019517543859649124
44,2,83.0,85.0,0.01864035087719298
45,1,86.0,87.0,0.019078947368421053
46,3,82.0,85.0,0.01864035087719298
47,0,89.0,89.0,0.019517543859649124
48,0,81.0,81.0,0.017763157894736842
49,0,85.0,85.0,0.01864035087719298
