u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,6,1
1,8,1
1,12,1
1,14,1
1,16,1
1,18,1
1,25,1
1,28,1
1,37,1
1,40,1
1,44,1
1,49,1
2,7,2
2,16,2
2,27,2
2,32,2
2,34,2
2,36,2
2,37,2
2,44,2
2,45,2
2,48,2
3,4,3
3,9,3
3,12,3
3,16,3
3,17,3
3,18,3
3,26,3
3,29,3
3,30,3
3,31,3
3,34,3
3,36,3
4,5,4
4,7,4
4,8,4
4,11,4
4,13,4
4,14,4
4,19,4
4,29,4
4,30,4
4,37,4
4,42,4
4,44,4
5,6,5
5,11,5
5,15,5
5,20,5
5,24,5
5,26,5
5,29,5
5,31,5
5,34,5
5,49,5
6,14,6
6,19,6
6,22,6
6,23,6
6,24,6
6,28,6
6,31,6
6,36,6
6,37,6
6,39,6
6,45,6
7,9,7
7,17,7
7,18,7
7,30,7
7,34,7
7,35,7
7,36,7
7,37,7
7,38,7
7,39,7
7,42,7
7,43,7
7,44,7
7,46,7
7,48,7
8,13,8
8,16,8
8,18,8
8,28,8
8,30,8
8,32,8
8,39,8
8,41,8
8,43,8
8,44,8
8,45,8
8,46,8
8,47,8
8,49,8
9,15,9
9,18,9
9,21,9
9,26,9
9,31,9
9,35,9
9,37,9
9,41,9
9,43,9
9,45,9
9,46,9
9,47,9
10,13,10
10,14,10
10,16,10
10,19,10
10,28,10
10,33,10
10,43,10
10,49,10
11,12,11
11,16,11
11,17,11
11,21,11
11,22,11
11,30,11
11,36,11
11,39,11
11,41,11
12,17,12
12,22,12
12,23,12
12,35,12
12,37,12
12,38,12
12,45,12
13,14,13
13,21,13
13,23,13
13,25,13
13,26,13
13,28,13
13,30,13
13,31,13
13,34,13
13,40,13
13,41,13
13,42,13
13,43,13
13,48,13
14,16,14
14,17,14
14,22,14
14,23,14
14,25,14
14,27,14
14,31,14
14,36,14
14,38,14
15,17,15
15,39,15
15,45,15
15,49,15
16,20,16
16,26,16
16,28,16
16,32,16
16,39,16
16,46,16
16,48,16
17,18,17
17,22,17
17,29,17
17,31,17
17,33,17
17,40,17
17,46,17
18,20,18
18,35,18
18,39,18
18,40,18
18,42,18
18,43,18
18,48,18
19,21,19
19,23,19
19,27,19
19,34,19
19,38,19
19,43,19
19,48,19
19,49,19
20,22,20
20,25,20
20,31,20
20,35,20
20,37,20
20,39,20
20,40,20
20,41,20
20,45,20
21,23,21
21,29,21
21,31,21
21,35,21
21,42,21
21,44,21
21,47,21
21,48,21
22,30,22
22,32,22
22,34,22
22,35,22
22,36,22
22,39,22
22,48,22
23,25,23
23,29,23
23,35,23
23,40,23
23,42,23
23,46,23
23,48,23
24,27,24
24,28,24
24,30,24
24,31,24
24,33,24
24,36,24
24,40,24
24,47,24
24,49,24
25,26,25
25,28,25
25,35,25
25,39,25
25,44,25
25,46,25
26,27,26
26,31,26
26,33,26
26,34,26
26,35,26
26,39,26
26,41,26
26,44,26
26,45,26
27,29,27
27,33,27
27,36,27
27,39,27
27,42,27
27,49,27
28,33,28
28,34,28
28,35,28
28,36,28
28,37,28
28,44,28
28,45,28
28,47,28
29,32,29
29,33,29
29,43,29
30,37,30
30,39,30
30,43,30
30,44,30
31,40,31
32,41,32
32,42,32
32,44,32
33,43,33
33,45,33
34,38,34
34,40,34
34,41,34
34,44,34
35,36,35
35,39,35
35,40,35
35,47,35
35,49,35
36,37,36
36,48,36
36,49,36
37,42,37
37,43,37
38,39,38
38,40,38
38,41,38
38,44,38
38,45,38
38,48,38
38,49,38
39,42,39
39,49,39
41,43,41
41,46,41
42,45,42
42,48,42
43,44,43
43,46,43
44,46,44
45,48,45
45,49,45
46,48,46
