u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,3,1
1,6,1
1,20,1
1,28,1
1,29,1
1,34,1
1,45,1
1,49,1
2,5,2
2,6,2
2,7,2
2,9,2
2,19,2
2,20,2
2,39,2
2,46,2
2,47,2
3,4,3
3,17,3
3,24,3
3,29,3
3,30,3
3,31,3
3,32,3
4,8,4
4,10,4
4,24,4
4,32,4
4,34,4
4,38,4
4,49,4
5,8,5
5,12,5
5,15,5
5,16,5
5,21,5
5,23,5
5,29,5
5,36,5
5,37,5
5,40,5
5,41,5
5,42,5
5,45,5
5,49,5
6,11,6
6,15,6
6,16,6
6,17,6
6,27,6
6,29,6
6,34,6
6,44,6
7,17,7
7,18,7
7,19,7
7,32,7
7,36,7
7,40,7
7,46,7
7,47,7
7,48,7
8,10,8
8,47,8
8,48,8
9,13,9
9,26,9
9,31,9
9,36,9
9,40,9
9,42,9
9,47,9
10,20,10
10,25,10
10,26,10
10,27,10
10,28,10
10,46,10
11,15,11
11,19,11
11,21,11
11,23,11
11,24,11
11,28,11
11,29,11
11,35,11
11,38,11
11,41,11
11,43,11
11,47,11
12,17,12
12,27,12
12,30,12
12,31,12
12,36,12
12,37,12
13,20,13
13,27,13
13,32,13
13,39,13
13,45,13
14,15,14
14,20,14
14,24,14
14,31,14
14,42,14
14,47,14
14,48,14
15,20,15
15,22,15
15,25,15
15,26,15
15,29,15
15,35,15
15,39,15
15,41,15
15,42,15
15,43,15
15,45,15
15,46,15
15,48,15
15,49,15
16,17,16
16,18,16
16,19,16
16,21,16
16,27,16
16,32,16
16,41,16
16,45,16
16,49,16
17,21,17
17,22,17
17,24,17
17,32,17
17,33,17
17,36,17
17,46,17
17,47,17
18,22,18
18,23,18
18,26,18
18,31,18
18,33,18
18,35,18
18,39,18
18,43,18
18,44,18
19,22,19
19,25,19
19,28,19
19,33,19
19,38,19
19,42,19
19,45,19
19,46,19
19,47,19
19,48,19
20,21,20
20,23,20
20,24,20
20,30,20
20,31,20
20,39,20
20,45,20
20,48,20
20,49,20
21,24,21
21,28,21
21,37,21
21,39,21
22,24,22
22,25,22
22,26,22
22,41,22
23,26,23
23,27,23
23,36,23
23,37,23
23,49,23
24,47,24
24,48,24
25,27,25
25,35,25
25,38,25
25,39,25
25,41,25
25,46,25
26,27,26
26,30,26
26,35,26
26,36,26
26,37,26
26,40,26
26,41,26
27,32,27
27,36,27
27,42,27
27,44,27
27,46,27
28,35,28
28,40,28
28,41,28
28,44,28
29,41,29
29,44,29
29,45,29
29,46,29
29,49,29
30,45,30
30,47,30
31,34,31
31,41,31
31,46,31
31,47,31
31,48,31
32,35,32
32,36,32
32,40,32
32,45,32
32,48,32
33,34,33
33,48,33
34,35,34
34,41,34
34,42,34
34,48,34
35,42,35
35,43,35
36,38,36
36,39,36
36,40,36
36,45,36
36,49,36
37,39,37
37,42,37
37,46,37
37,49,37
38,41,38
38,48,38
39,40,39
39,44,39
39,45,39
40,49,40
41,42,41
41,47,41
42,46,42
43,47,43
44,49,44
