u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,2,1
1,3,1
1,21,1
1,33,1
1,34,1
1,35,1
1,36,1
1,45,1
1,48,1
2,3,2
2,4,2
2,6,2
2,11,2
2,21,2
2,27,2
2,30,2
2,31,2
2,33,2
2,38,2
2,43,2
2,46,2
2,47,2
3,5,3
3,9,3
3,11,3
3,19,3
3,22,3
3,23,3
3,29,3
3,31,3
3,40,3
3,45,3
3,46,3
3,48,3
4,8,4
4,11,4
4,13,4
4,25,4
4,29,4
4,30,4
4,34,4
4,41,4
4,42,4
4,44,4
4,47,4
4,49,4
5,10,5
5,25,5
5,32,5
5,37,5
5,39,5
5,46,5
5,48,5
6,7,6
6,8,6
6,9,6
6,12,6
6,13,6
6,14,6
6,27,6
6,35,6
6,41,6
6,42,6
6,44,6
7,9,7
7,15,7
7,16,7
7,18,7
7,20,7
7,24,7
7,28,7
7,30,7
7,33,7
7,35,7
7,38,7
7,41,7
7,45,7
7,46,7
7,47,7
8,10,8
8,11,8
8,17,8
8,23,8
8,29,8
8,32,8
8,35,8
8,42,8
8,44,8
9,10,9
9,11,9
9,25,9
9,29,9
9,33,9
9,35,9
9,36,9
10,15,10
10,19,10
10,27,10
10,29,10
10,34,10
10,37,10
10,39,10
10,49,10
11,12,11
11,13,11
11,18,11
11,21,11
11,22,11
11,28,11
11,38,11
11,39,11
11,43,11
11,49,11
12,16,12
12,21,12
12,32,12
12,34,12
12,41,12
12,43,12
12,46,12
13,14,13
13,17,13
13,25,13
13,26,13
13,33,13
13,36,13
14,15,14
14,21,14
14,22,14
14,25,14
14,29,14
14,32,14
14,34,14
14,35,14
14,36,14
14,38,14
14,45,14
14,46,14
14,47,14
14,48,14
14,49,14
15,16,15
15,17,15
15,19,15
15,24,15
15,25,15
15,27,15
15,32,15
15,40,15
15,41,15
15,44,15
15,48,15
16,17,16
16,19,16
16,29,16
16,30,16
16,32,16
16,38,16
17,27,17
17,28,17
17,29,17
17,35,17
18,23,18
18,30,18
18,39,18
18,44,18
18,47,18
18,49,18
19,24,19
19,25,19
19,26,19
19,31,19
19,36,19
19,41,19
20,28,20
20,31,20
20,36,20
20,37,20
20,38,20
20,42,20
20,45,20
20,46,20
20,48,20
21,22,21
21,23,21
21,25,21
21,34,21
21,36,21
21,41,21
21,46,21
22,23,22
22,30,22
22,32,22
22,33,22
22,34,22
23,31,23
23,33,23
23,37,23
23,39,23
23,40,23
23,44,23
23,49,23
24,25,24
24,28,24
24,33,24
24,40,24
24,42,24
24,46,24
24,48,24
25,26,25
25,28,25
25,30,25
25,35,25
25,36,25
26,28,26
26,29,26
26,30,26
26,36,26
26,38,26
26,39,26
26,45,26
27,28,27
27,30,27
27,32,27
27,33,27
27,34,27
27,35,27
27,39,27
27,40,27
27,44,27
27,45,27
27,47,27
28,29,28
28,31,28
28,32,28
28,33,28
28,36,28
28,38,28
28,39,28
29,42,29
29,45,29
29,48,29
30,31,30
30,33,30
30,41,30
30,44,30
30,45,30
30,47,30
30,48,30
31,34,31
31,42,31
31,44,31
31,49,31
32,34,32
32,39,32
32,42,32
32,46,32
33,34,33
33,35,33
33,43,33
33,48,33
34,42,34
34,45,34
34,48,34
35,38,35
35,40,35
35,41,35
35,44,35
36,38,36
36,42,36
36,43,36
36,48,36
36,49,36
37,40,37
37,42,37
37,43,37
38,43,38
38,48,38
39,43,39
39,48,39
41,46,41
42,44,42
43,44,43
43,48,43
43,49,43
44,46,44
44,49,44
45,49,45
46,47,46
46,48,46
46,49,46
