node,owned_edges,dist_sum,cost,p
0,49,49.0,98.0,0.02157639806252752
1,8,89.0,97.0,0.02135623073535887
2,6,91.0,97.0,0.02135623073535887
3,16,81.0,97.0,0.02135623073535887
4,11,84.0,95.0,0.020915896081021578
5,13,84.0,97.0,0.02135623073535887
6,12,84.0,96.0,0.021136063408190225
7,10,84.0,94.0,0.020695728753852928
8,10,85.0,95.0,0.020915896081021578
9,9,87.0,96.0,0.021136063408190225
10,10,83.0,93.0,0.02047556142668428
11,16,78.0,94.0,0.020695728753852928
12,11,82.0,93.0,0.02047556142668428
13,9,86.0,95.0,0.020915896081021578
14,12,81.0,93.0,0.02047556142668428
15,10,83.0,93.0,0.02047556142668428
16,11,82.0,93.0,0.02047556142668428
17,6,89.0,95.0,0.020915896081021578
18,7,86.0,93.0,0.02047556142668428
19,5,89.0,94.0,0.020695728753852928
20,7,87.0,94.0,0.020695728753852928
21,12,83.0,95.0,0.020915896081021578
22,12,80.0,92.0,0.02025539409951563
23,6,85.0,91.0,0.020035226772346985
24,4,88.0,92.0,0.02025539409951563
25,9,81.0,90.0,0.019815059445178335
26,5,83.0,88.0,0.019374724790841038
27,9,82.0,91.0,0.020035226772346985
28,1,88.0,89.0,0.019594892118009688
29,4,83.0,87.0,0.01915455746367239
30,6,82.0,88.0,0.019374724790841038
31,5,77.0,82.0,0.01805372082782915
32,3,88.0,91.0,0.020035226772346985
33,4,85.0,89.0,0.019594892118009688
34,5,84.0,89.0,0.019594892118009688
35,2,87.0,89.0,0.019594892118009688
36,2,86.0,88.0,0.019374724790841038
37,4,84.0,88.0,0.019374724790841038
38,4,83.0,87.0,0.01915455746367239
39,2,84.0,86.0,0.01893439013650374
40,2,86.0,88.0,0.019374724790841038
41,2,86.0,88.0,0.019374724790841038
42,2,86.0,88.0,0.019374724790841038
43,0,89.0,89.0,0.019594892118009688
44,1,77.0,78.0,0.017173051519154558
45,2,87.0,89.0,0.019594892118009688
46,2,83.0,85.0,0.018714222809335095
47,0,80.0,80.0,0.017613386173491855
48,0,84.0,84.0,0.018494055482166448
49,0,89.0,89.0,0.019594892118009688
