node,owned_edges,dist_sum,cost,p
0,49,49.0,98.0,0.021528998242530756
1,17,80.0,97.0,0.021309314586994726
2,12,85.0,97.0,0.021309314586994726
3,11,84.0,95.0,0.02086994727592267
4,10,87.0,97.0,0.021309314586994726
5,12,82.0,94.0,0.020650263620386643
6,10,84.0,94.0,0.020650263620386643
7,14,82.0,96.0,0.0210896309314587
8,8,86.0,94.0,0.020650263620386643
9,14,82.0,96.0,0.0210896309314587
10,8,89.0,97.0,0.021309314586994726
11,11,83.0,94.0,0.020650263620386643
12,11,81.0,92.0,0.020210896309314587
13,12,79.0,91.0,0.01999121265377856
14,10,84.0,94.0,0.020650263620386643
15,11,85.0,96.0,0.0210896309314587
16,10,80.0,90.0,0.01977152899824253
17,10,83.0,93.0,0.020430579964850613
18,10,83.0,93.0,0.020430579964850613
19,9,84.0,93.0,0.020430579964850613
20,6,85.0,91.0,0.01999121265377856
21,6,86.0,92.0,0.020210896309314587
22,6,86.0,92.0,0.020210896309314587
23,4,87.0,91.0,0.01999121265377856
24,3,91.0,94.0,0.020650263620386643
25,2,91.0,93.0,0.020430579964850613
26,4,89.0,93.0,0.020430579964850613
27,6,87.0,93.0,0.020430579964850613
28,3,86.0,89.0,0.019551845342706504
29,6,82.0,88.0,0.019332161687170474
30,5,85.0,90.0,0.01977152899824253
31,6,84.0,90.0,0.01977152899824253
32,6,78.0,84.0,0.01845342706502636
33,3,84.0,87.0,0.019112478031634447
34,3,83.0,86.0,0.018892794376098417
35,4,86.0,90.0,0.01977152899824253
36,4,82.0,86.0,0.018892794376098417
37,2,84.0,86.0,0.018892794376098417
38,1,83.0,84.0,0.01845342706502636
39,1,89.0,90.0,0.01977152899824253
40,1,89.0,90.0,0.01977152899824253
41,1,87.0,88.0,0.019332161687170474
42,1,88.0,89.0,0.019551845342706504
43,1,87.0,88.0,0.019332161687170474
44,2,84.0,86.0,0.018892794376098417
45,1,88.0,89.0,0.019551845342706504
46,1,83.0,84.0,0.01845342706502636
47,0,88.0,88.0,0.019332161687170474
48,0,85.0,85.0,0.01867311072056239
49,0,85.0,85.0,0.01867311072056239
