u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,2,1
1,4,1
1,5,1
1,13,1
1,20,1
1,21,1
1,32,1
1,34,1
1,42,1
1,46,1
2,4,2
2,17,2
2,24,2
2,26,2
2,27,2
2,29,2
2,36,2
2,39,2
3,8,3
3,12,3
3,18,3
3,20,3
3,23,3
3,25,3
3,31,3
3,33,3
3,42,3
3,45,3
4,6,4
4,9,4
4,17,4
4,25,4
4,26,4
4,28,4
4,30,4
4,34,4
4,42,4
4,44,4
5,8,5
5,18,5
5,34,5
5,37,5
5,42,5
5,44,5
5,45,5
5,46,5
5,49,5
6,9,6
6,14,6
6,15,6
6,20,6
6,22,6
6,39,6
6,40,6
6,41,6
6,43,6
7,9,7
7,13,7
7,17,7
7,18,7
7,20,7
7,26,7
7,27,7
7,28,7
7,31,7
7,37,7
7,39,7
7,44,7
7,45,7
8,19,8
8,26,8
8,32,8
8,35,8
8,38,8
8,42,8
8,48,8
8,49,8
9,18,9
9,22,9
9,27,9
9,34,9
9,36,9
9,41,9
9,43,9
9,46,9
10,11,10
10,19,10
10,20,10
10,21,10
10,23,10
10,28,10
10,31,10
10,34,10
10,35,10
10,44,10
10,45,10
11,13,11
11,14,11
11,22,11
11,24,11
11,32,11
11,34,11
11,35,11
11,37,11
11,38,11
11,43,11
11,47,11
11,48,11
12,18,12
12,20,12
12,21,12
12,23,12
12,26,12
12,27,12
12,31,12
12,35,12
12,36,12
12,37,12
12,38,12
12,39,12
12,40,12
12,45,12
12,47,12
12,49,12
13,20,13
13,23,13
13,27,13
13,29,13
13,31,13
13,33,13
13,34,13
13,35,13
13,36,13
13,43,13
13,46,13
13,48,13
14,15,14
14,17,14
14,22,14
14,26,14
14,28,14
14,29,14
14,30,14
14,31,14
14,33,14
14,35,14
14,37,14
14,40,14
14,43,14
14,44,14
14,48,14
14,49,14
15,16,15
15,17,15
15,18,15
15,22,15
15,28,15
15,35,15
15,49,15
16,20,16
16,22,16
16,26,16
16,35,16
16,45,16
16,48,16
17,34,17
17,35,17
17,40,17
17,41,17
17,43,17
18,19,18
18,27,18
18,38,18
18,39,18
18,43,18
18,46,18
18,48,18
18,49,18
19,24,19
19,26,19
19,27,19
19,34,19
19,37,19
19,41,19
19,45,19
20,27,20
20,28,20
20,29,20
20,34,20
20,40,20
21,23,21
21,26,21
21,28,21
21,31,21
21,38,21
21,39,21
21,46,21
21,49,21
22,23,22
22,31,22
22,32,22
22,35,22
22,36,22
22,42,22
22,45,22
22,47,22
23,28,23
23,32,23
23,33,23
23,41,23
23,42,23
23,44,23
23,45,23
23,48,23
24,26,24
24,29,24
24,31,24
24,33,24
24,35,24
24,36,24
24,41,24
24,42,24
24,45,24
24,49,24
25,26,25
25,27,25
25,31,25
25,43,25
25,45,25
25,49,25
26,28,26
26,31,26
26,32,26
26,35,26
26,36,26
26,38,26
26,39,26
26,47,26
27,30,27
27,31,27
27,48,27
27,49,27
28,35,28
28,40,28
28,42,28
28,43,28
29,32,29
29,37,29
29,42,29
29,43,29
29,48,29
30,37,30
30,38,30
30,39,30
30,41,30
30,43,30
30,46,30
30,47,30
30,49,30
31,41,31
31,43,31
31,47,31
32,36,32
32,39,32
32,43,32
32,47,32
33,41,33
33,42,33
33,45,33
34,39,34
34,42,34
34,49,34
35,36,35
35,37,35
35,41,35
35,42,35
35,47,35
36,38,36
36,39,36
36,40,36
36,46,36
36,49,36
38,45,38
38,48,38
38,49,38
39,40,39
39,43,39
39,47,39
40,41,40
40,42,40
40,44,40
40,47,40
40,48,40
40,49,40
42,48,42
43,44,43
43,47,43
43,49,43
44,45,44
44,46,44
45,49,45
