node,owned_edges,dist_sum,cost,p
0,49,49.0,98.0,0.021444201312910284
1,13,84.0,97.0,0.021225382932166303
2,13,83.0,96.0,0.02100656455142232
3,7,89.0,96.0,0.02100656455142232
4,12,85.0,97.0,0.021225382932166303
5,4,92.0,96.0,0.02100656455142232
6,3,94.0,97.0,0.021225382932166303
7,6,89.0,95.0,0.020787746170678335
8,15,82.0,97.0,0.021225382932166303
9,6,87.0,93.0,0.02035010940919037
10,8,88.0,96.0,0.02100656455142232
11,14,79.0,93.0,0.02035010940919037
12,12,83.0,95.0,0.020787746170678335
13,9,85.0,94.0,0.020568927789934355
14,7,85.0,92.0,0.02013129102844639
15,9,87.0,96.0,0.02100656455142232
16,8,84.0,92.0,0.02013129102844639
17,12,81.0,93.0,0.02035010940919037
18,6,86.0,92.0,0.02013129102844639
19,7,82.0,89.0,0.01947483588621444
20,11,78.0,89.0,0.01947483588621444
21,2,89.0,91.0,0.019912472647702406
22,6,85.0,91.0,0.019912472647702406
23,3,90.0,93.0,0.02035010940919037
24,7,87.0,94.0,0.020568927789934355
25,7,83.0,90.0,0.019693654266958426
26,6,84.0,90.0,0.019693654266958426
27,5,88.0,93.0,0.02035010940919037
28,6,83.0,89.0,0.01947483588621444
29,4,86.0,90.0,0.019693654266958426
30,8,84.0,92.0,0.02013129102844639
31,5,83.0,88.0,0.01925601750547046
32,5,87.0,92.0,0.02013129102844639
33,4,87.0,91.0,0.019912472647702406
34,3,86.0,89.0,0.01947483588621444
35,4,88.0,92.0,0.02013129102844639
36,5,82.0,87.0,0.019037199124726477
37,4,83.0,87.0,0.019037199124726477
38,2,86.0,88.0,0.01925601750547046
39,4,86.0,90.0,0.019693654266958426
40,2,84.0,86.0,0.018818380743982493
41,1,86.0,87.0,0.019037199124726477
42,2,84.0,86.0,0.018818380743982493
43,1,86.0,87.0,0.019037199124726477
44,1,80.0,81.0,0.017724288840262583
45,0,91.0,91.0,0.019912472647702406
46,1,92.0,93.0,0.02035010940919037
47,0,85.0,85.0,0.018599562363238512
48,1,87.0,88.0,0.01925601750547046
49,0,86.0,86.0,0.018818380743982493
