node,owned_edges,dist_sum,cost,p
0,99,99.0,198.0,0.01070559610705596
1,19,178.0,197.0,0.010651527439848608
2,25,172.0,197.0,0.010651527439848608
3,30,167.0,197.0,0.010651527439848608
4,24,172.0,196.0,0.010597458772641254
5,28,168.0,196.0,0.010597458772641254
6,22,174.0,196.0,0.010597458772641254
7,27,167.0,194.0,0.010489321438226548
8,16,179.0,195.0,0.010543390105433901
9,23,173.0,196.0,0.010597458772641254
10,20,176.0,196.0,0.010597458772641254
11,28,167.0,195.0,0.010543390105433901
12,26,168.0,194.0,0.010489321438226548
13,20,175.0,195.0,0.010543390105433901
14,18,173.0,191.0,0.010327115436604488
15,21,171.0,192.0,0.010381184103811841
16,20,175.0,195.0,0.010543390105433901
17,17,175.0,192.0,0.010381184103811841
18,25,167.0,192.0,0.010381184103811841
19,18,175.0,193.0,0.010435252771019194
20,21,170.0,191.0,0.010327115436604488
21,15,176.0,191.0,0.010327115436604488
22,16,175.0,191.0,0.010327115436604488
23,12,180.0,192.0,0.010381184103811841
24,13,176.0,189.0,0.010218978102189781
25,11,182.0,193.0,0.010435252771019194
26,22,172.0,194.0,0.010489321438226548
27,21,173.0,194.0,0.010489321438226548
28,20,167.0,187.0,0.010110840767775074
29,23,172.0,195.0,0.010543390105433901
30,16,174.0,190.0,0.010273046769397134
31,18,172.0,190.0,0.010273046769397134
32,17,170.0,187.0,0.010110840767775074
33,17,170.0,187.0,0.010110840767775074
34,18,173.0,191.0,0.010327115436604488
35,16,172.0,188.0,0.010164909434982428
36,14,178.0,192.0,0.010381184103811841
37,25,164.0,189.0,0.010218978102189781
38,16,173.0,189.0,0.010218978102189781
39,14,171.0,185.0,0.010002703433360368
40,19,166.0,185.0,0.010002703433360368
41,12,176.0,188.0,0.010164909434982428
42,16,173.0,189.0,0.010218978102189781
43,7,178.0,185.0,0.010002703433360368
44,11,173.0,184.0,0.009948634766153014
45,13,172.0,185.0,0.010002703433360368
46,12,176.0,188.0,0.010164909434982428
47,15,170.0,185.0,0.010002703433360368
48,15,172.0,187.0,0.010110840767775074
49,12,175.0,187.0,0.010110840767775074
50,14,173.0,187.0,0.010110840767775074
51,11,174.0,185.0,0.010002703433360368
52,5,176.0,181.0,0.009786428764530954
53,7,173.0,180.0,0.009732360097323601
54,13,173.0,186.0,0.010056772100567721
55,11,169.0,180.0,0.009732360097323601
56,13,170.0,183.0,0.009894566098945661
57,13,170.0,183.0,0.009894566098945661
58,16,172.0,188.0,0.010164909434982428
59,9,175.0,184.0,0.009948634766153014
60,7,173.0,180.0,0.009732360097323601
61,9,167.0,176.0,0.009516085428494187
62,11,174.0,185.0,0.010002703433360368
63,6,177.0,183.0,0.009894566098945661
64,11,173.0,184.0,0.009948634766153014
65,7,172.0,179.0,0.009678291430116248
66,12,168.0,180.0,0.009732360097323601
67,5,181.0,186.0,0.010056772100567721
68,10,166.0,176.0,0.009516085428494187
69,6,172.0,178.0,0.009624222762908894
70,8,171.0,179.0,0.009678291430116248
71,9,167.0,176.0,0.009516085428494187
72,9,165.0,174.0,0.009407948094079481
73,11,167.0,178.0,0.009624222762908894
74,4,173.0,177.0,0.009570154095701541
75,3,179.0,182.0,0.009840497431738308
76,3,172.0,175.0,0.009462016761286834
77,3,171.0,174.0,0.009407948094079481
78,3,177.0,180.0,0.009732360097323601
79,8,170.0,178.0,0.009624222762908894
80,3,179.0,182.0,0.009840497431738308
81,4,167.0,171.0,0.009245742092457421
82,4,172.0,176.0,0.009516085428494187
83,4,177.0,181.0,0.009786428764530954
84,6,173.0,179.0,0.009678291430116248
85,1,177.0,178.0,0.009624222762908894
86,4,169.0,173.0,0.009353879426872127
87,2,177.0,179.0,0.009678291430116248
88,1,170.0,171.0,0.009245742092457421
89,3,173.0,176.0,0.009516085428494187
90,4,170.0,174.0,0.009407948094079481
91,3,172.0,175.0,0.009462016761286834
92,3,168.0,171.0,0.009245742092457421
93,0,179.0,179.0,0.009678291430116248
94,0,170.0,170.0,0.009191673425250067
95,0,179.0,179.0,0.009678291430116248
96,2,175.0,177.0,0.009570154095701541
97,0,177.0,177.0,0.009570154095701541
98,1,173.0,174.0,0.009407948094079481
99,0,171.0,171.0,0.009245742092457421
