u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,5,1
1,6,1
1,20,1
1,28,1
1,40,1
1,43,1
1,47,1
1,48,1
1,54,1
1,55,1
1,56,1
1,57,1
1,60,1
1,62,1
1,63,1
1,67,1
1,69,1
1,71,1
1,73,1
1,76,1
1,80,1
1,92,1
1,93,1
1,94,1
1,99,1
2,4,2
2,9,2
2,15,2
2,29,2
2,36,2
2,39,2
2,40,2
2,41,2
2,44,2
2,47,2
2,50,2
2,51,2
2,52,2
2,53,2
2,54,2
2,60,2
2,78,2
2,79,2
2,85,2
2,88,2
2,98,2
3,7,3
3,11,3
3,14,3
3,29,3
3,30,3
3,32,3
3,33,3
3,34,3
3,44,3
3,46,3
3,48,3
3,50,3
3,52,3
3,60,3
3,61,3
3,64,3
3,68,3
3,70,3
3,83,3
3,90,3
3,92,3
3,93,3
3,94,3
4,31,4
4,33,4
4,36,4
4,38,4
4,50,4
4,55,4
4,56,4
4,57,4
4,59,4
4,60,4
4,71,4
4,72,4
4,73,4
4,82,4
4,86,4
4,90,4
4,91,4
4,93,4
4,98,4
4,99,4
5,6,5
5,9,5
5,13,5
5,14,5
5,15,5
5,21,5
5,22,5
5,23,5
5,25,5
5,44,5
5,49,5
5,55,5
5,60,5
5,64,5
5,71,5
5,79,5
5,81,5
5,82,5
5,87,5
5,89,5
5,91,5
5,93,5
5,94,5
5,96,5
5,97,5
6,14,6
6,16,6
6,22,6
6,24,6
6,28,6
6,31,6
6,36,6
6,42,6
6,46,6
6,50,6
6,59,6
6,65,6
6,72,6
6,74,6
6,75,6
6,78,6
6,83,6
6,88,6
6,92,6
6,93,6
6,95,6
7,14,7
7,16,7
7,19,7
7,21,7
7,27,7
7,28,7
7,34,7
7,35,7
7,39,7
7,42,7
7,51,7
7,52,7
7,56,7
7,58,7
7,65,7
7,67,7
7,71,7
7,72,7
7,74,7
7,76,7
7,84,7
7,85,7
7,87,7
7,88,7
7,94,7
7,96,7
7,98,7
7,99,7
8,9,8
8,12,8
8,14,8
8,16,8
8,20,8
8,21,8
8,28,8
8,40,8
8,42,8
8,45,8
8,50,8
8,53,8
8,68,8
8,71,8
8,74,8
8,77,8
8,79,8
8,80,8
8,85,8
8,88,8
8,96,8
8,97,8
9,17,9
9,19,9
9,23,9
9,25,9
9,29,9
9,32,9
9,37,9
9,48,9
9,49,9
9,53,9
9,55,9
9,56,9
9,59,9
