node,owned_edges,dist_sum,cost,p
0,99,99.0,198.0,0.010706174975667785
1,20,177.0,197.0,0.010652103384881583
2,28,169.0,197.0,0.010652103384881583
3,23,174.0,197.0,0.010652103384881583
4,30,165.0,195.0,0.010543960203309182
5,19,176.0,195.0,0.010543960203309182
6,21,174.0,195.0,0.010543960203309182
7,30,165.0,195.0,0.010543960203309182
8,27,169.0,196.0,0.010598031794095382
9,27,168.0,195.0,0.010543960203309182
10,20,173.0,193.0,0.010435817021736779
11,17,176.0,193.0,0.010435817021736779
12,15,180.0,195.0,0.010543960203309182
13,23,173.0,196.0,0.010598031794095382
14,25,169.0,194.0,0.010489888612522981
15,22,171.0,193.0,0.010435817021736779
16,22,171.0,193.0,0.010435817021736779
17,13,177.0,190.0,0.010273602249378178
18,13,179.0,192.0,0.010381745430950579
19,13,177.0,190.0,0.010273602249378178
20,26,167.0,193.0,0.010435817021736779
21,25,165.0,190.0,0.010273602249378178
22,25,165.0,190.0,0.010273602249378178
23,23,171.0,194.0,0.010489888612522981
24,21,170.0,191.0,0.010327673840164378
25,23,170.0,193.0,0.010435817021736779
26,15,178.0,193.0,0.010435817021736779
27,17,176.0,193.0,0.010435817021736779
28,21,174.0,195.0,0.010543960203309182
29,20,167.0,187.0,0.010111387477019574
30,15,174.0,189.0,0.010219530658591975
31,16,171.0,187.0,0.010111387477019574
32,16,174.0,190.0,0.010273602249378178
33,22,168.0,190.0,0.010273602249378178
34,20,171.0,191.0,0.010327673840164378
35,11,179.0,190.0,0.010273602249378178
36,20,170.0,190.0,0.010273602249378178
37,16,172.0,188.0,0.010165459067805775
38,16,165.0,181.0,0.009786957932302368
39,11,176.0,187.0,0.010111387477019574
40,18,168.0,186.0,0.010057315886233374
41,14,172.0,186.0,0.010057315886233374
42,16,170.0,186.0,0.010057315886233374
43,12,179.0,191.0,0.010327673840164378
44,11,173.0,184.0,0.009949172704660971
45,13,169.0,182.0,0.00984102952308857
46,10,178.0,188.0,0.010165459067805775
47,9,174.0,183.0,0.00989510111387477
48,12,175.0,187.0,0.010111387477019574
49,12,170.0,182.0,0.00984102952308857
50,22,155.0,177.0,0.009570671569157564
51,17,168.0,185.0,0.010003244295447172
52,13,165.0,178.0,0.009624743159943766
53,14,170.0,184.0,0.009949172704660971
54,11,171.0,182.0,0.00984102952308857
55,11,175.0,186.0,0.010057315886233374
56,9,175.0,184.0,0.009949172704660971
57,11,171.0,182.0,0.00984102952308857
58,9,178.0,187.0,0.010111387477019574
59,5,172.0,177.0,0.009570671569157564
60,7,173.0,180.0,0.009732886341516167
61,10,171.0,181.0,0.009786957932302368
62,5,169.0,174.0,0.009408456796798963
63,12,168.0,180.0,0.009732886341516167
64,8,172.0,180.0,0.009732886341516167
65,8,166.0,174.0,0.009408456796798963
66,6,177.0,183.0,0.00989510111387477
67,10,175.0,185.0,0.010003244295447172
68,4,177.0,181.0,0.009786957932302368
69,9,178.0,187.0,0.010111387477019574
70,5,180.0,185.0,0.010003244295447172
71,6,174.0,180.0,0.009732886341516167
72,4,179.0,183.0,0.00989510111387477
73,3,179.0,182.0,0.00984102952308857
74,5,173.0,178.0,0.009624743159943766
75,3,177.0,180.0,0.009732886341516167
76,1,179.0,180.0,0.009732886341516167
77,7,174.0,181.0,0.009786957932302368
78,4,169.0,173.0,0.00935438520601276
79,2,175.0,177.0,0.009570671569157564
80,4,172.0,176.0,0.009516599978371364
81,3,177.0,180.0,0.009732886341516167
82,2,174.0,176.0,0.009516599978371364
83,5,181.0,186.0,0.010057315886233374
84,6,177.0,183.0,0.00989510111387477
85,4,173.0,177.0,0.009570671569157564
86,3,176.0,179.0,0.009678814750729967
87,0,179.0,179.0,0.009678814750729967
88,5,167.0,172.0,0.00930031361522656
89,4,167.0,171.0,0.00924624202444036
90,1,175.0,176.0,0.009516599978371364
91,5,173.0,178.0,0.009624743159943766
92,2,180.0,182.0,0.00984102952308857
93,3,172.0,175.0,0.009462528387585163
94,1,173.0,174.0,0.009408456796798963
95,1,178.0,179.0,0.009678814750729967
96,2,164.0,166.0,0.008975884070509355
97,0,172.0,172.0,0.00930031361522656
98,1,168.0,169.0,0.009138098842867957
99,0,172.0,172.0,0.00930031361522656
