u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,3,1
1,4,1
1,7,1
1,9,1
1,15,1
1,16,1
1,30,1
1,33,1
1,35,1
1,37,1
1,38,1
1,47,1
1,52,1
1,56,1
1,57,1
1,62,1
1,69,1
1,72,1
1,77,1
1,80,1
1,86,1
2,3,2
2,8,2
2,12,2
2,15,2
2,21,2
2,24,2
2,33,2
2,36,2
2,43,2
2,48,2
2,49,2
2,53,2
2,59,2
2,63,2
2,65,2
2,76,2
2,82,2
2,87,2
2,90,2
2,91,2
2,94,2
2,97,2
3,7,3
3,10,3
3,16,3
3,17,3
3,18,3
3,21,3
3,22,3
3,25,3
3,34,3
3,35,3
3,41,3
3,50,3
3,57,3
3,59,3
3,60,3
3,61,3
3,62,3
3,63,3
3,64,3
3,76,3
3,80,3
3,85,3
3,87,3
3,90,3
3,95,3
3,98,3
3,99,3
4,10,4
4,13,4
4,16,4
4,18,4
4,23,4
4,25,4
4,26,4
4,29,4
4,37,4
4,39,4
4,43,4
4,44,4
4,45,4
4,47,4
4,48,4
4,56,4
4,58,4
4,65,4
4,72,4
4,73,4
4,74,4
4,85,4
4,89,4
4,93,4
4,94,4
4,97,4
5,17,5
5,26,5
5,28,5
5,33,5
5,35,5
5,38,5
5,40,5
5,41,5
5,47,5
5,62,5
5,67,5
5,69,5
5,92,5
5,93,5
5,99,5
6,7,6
6,13,6
6,17,6
6,23,6
6,24,6
6,27,6
6,29,6
6,32,6
6,36,6
6,37,6
6,39,6
6,46,6
6,49,6
6,56,6
6,57,6
6,58,6
6,60,6
6,66,6
6,73,6
6,75,6
6,77,6
6,78,6
6,86,6
7,10,7
7,15,7
7,19,7
7,21,7
7,31,7
7,35,7
7,40,7
7,42,7
7,46,7
7,54,7
7,56,7
7,57,7
7,58,7
7,60,7
7,64,7
7,65,7
7,66,7
7,68,7
7,79,7
7,80,7
7,81,7
7,82,7
7,90,7
7,93,7
7,98,7
8,10,8
8,18,8
8,24,8
8,25,8
8,26,8
8,29,8
8,36,8
8,39,8
8,46,8
8,56,8
8,58,8
8,62,8
8,63,8
8,68,8
8,70,8
8,72,8
8,73,8
8,76,8
8,78,8
8,84,8
8,87,8
8,94,8
8,98,8
8,99,8
9,22,9
9,25,9
9,28,9
9,35,9
9,50,9
9,52,9
9,57,9
9,59,9
9,63,9
9,67,9
9,73,9
9,76,9
9,77,9
9,79,9
9,82,9
