node,owned_edges,dist_sum,cost,p
0,19,19.0,57.0,0.075
1,2,35.0,39.0,0.05131578947368421
2,4,33.0,41.0,0.05394736842105263
3,4,33.0,41.0,0.05394736842105263
4,5,31.0,41.0,0.05394736842105263
5,2,35.0,39.0,0.05131578947368421
6,0,37.0,37.0,0.04868421052631579
7,4,32.0,40.0,0.05263157894736842
8,0,35.0,35.0,0.046052631578947366
9,1,36.0,38.0,0.05
10,2,33.0,37.0,0.04868421052631579
11,2,33.0,37.0,0.04868421052631579
12,1,33.0,35.0,0.046052631578947366
13,0,36.0,36.0,0.04736842105263158
14,1,33.0,35.0,0.046052631578947366
15,1,36.0,38.0,0.05
16,0,32.0,32.0,0.042105263157894736
17,0,36.0,36.0,0.04736842105263158
18,0,31.0,31.0,0.04078947368421053
19,0,35.0,35.0,0.046052631578947366
