node,owned_edges,dist_sum,cost,p
0,19,19.0,57.0,0.075
1,2,35.0,39.0,0.05131578947368421
2,0,37.0,37.0,0.04868421052631579
3,2,35.0,39.0,0.05131578947368421
4,3,34.0,40.0,0.05263157894736842
5,2,35.0,39.0,0.05131578947368421
6,1,36.0,38.0,0.05
7,1,36.0,38.0,0.05
8,1,36.0,38.0,0.05
9,1,35.0,37.0,0.04868421052631579
10,1,35.0,37.0,0.04868421052631579
11,0,35.0,35.0,0.046052631578947366
12,1,35.0,37.0,0.04868421052631579
13,1,35.0,37.0,0.04868421052631579
14,1,34.0,36.0,0.04736842105263158
15,0,35.0,35.0,0.046052631578947366
16,0,35.0,35.0,0.046052631578947366
17,0,37.0,37.0,0.04868421052631579
18,1,33.0,35.0,0.046052631578947366
19,0,34.0,34.0,0.04473684210526316
