node,owned_edges,dist_sum,cost,p
0,19,19.0,57.0,0.075
1,2,35.0,39.0,0.05131578947368421
2,0,37.0,37.0,0.04868421052631579
3,2,35.0,39.0,0.05131578947368421
4,2,35.0,39.0,0.05131578947368421
5,0,36.0,36.0,0.04736842105263158
6,4,33.0,41.0,0.05394736842105263
7,2,33.0,37.0,0.04868421052631579
8,2,35.0,39.0,0.05131578947368421
9,0,37.0,37.0,0.04868421052631579
10,0,35.0,35.0,0.046052631578947366
11,0,37.0,37.0,0.04868421052631579
12,0,37.0,37.0,0.04868421052631579
13,0,37.0,37.0,0.04868421052631579
14,2,34.0,38.0,0.05
15,0,36.0,36.0,0.04736842105263158
16,1,35.0,37.0,0.04868421052631579
17,0,33.0,33.0,0.04342105263157895
18,0,33.0,33.0,0.04342105263157895
19,0,36.0,36.0,0.04736842105263158
