node,owned_edges,dist_sum,cost,p
0,19,19.0,57.0,0.075
1,1,36.0,38.0,0.05
2,1,36.0,38.0,0.05
3,1,36.0,38.0,0.05
4,1,36.0,38.0,0.05
5,2,35.0,39.0,0.05131578947368421
6,3,34.0,40.0,0.05263157894736842
7,0,36.0,36.0,0.04736842105263158
8,1,34.0,36.0,0.04736842105263158
9,0,35.0,35.0,0.046052631578947366
10,0,37.0,37.0,0.04868421052631579
11,1,35.0,37.0,0.04868421052631579
12,2,35.0,39.0,0.05131578947368421
13,0,35.0,35.0,0.046052631578947366
14,1,36.0,38.0,0.05
15,0,37.0,37.0,0.04868421052631579
16,0,35.0,35.0,0.046052631578947366
17,1,34.0,36.0,0.04736842105263158
18,0,34.0,34.0,0.04473684210526316
19,0,37.0,37.0,0.04868421052631579
