node,owned_edges,dist_sum,cost,p
0,19,19.0,57.0,0.075
1,2,35.0,39.0,0.05131578947368421
2,3,33.0,39.0,0.05131578947368421
3,2,35.0,39.0,0.05131578947368421
4,2,35.0,39.0,0.05131578947368421
5,0,37.0,37.0,0.04868421052631579
6,3,34.0,40.0,0.05263157894736842
7,0,37.0,37.0,0.04868421052631579
8,1,35.0,37.0,0.04868421052631579
9,0,35.0,35.0,0.046052631578947366
10,0,35.0,35.0,0.046052631578947366
11,0,35.0,35.0,0.046052631578947366
12,0,37.0,37.0,0.04868421052631579
13,0,36.0,36.0,0.04736842105263158
14,0,37.0,37.0,0.04868421052631579
15,1,36.0,38.0,0.05
16,0,35.0,35.0,0.046052631578947366
17,0,36.0,36.0,0.04736842105263158
18,0,35.0,35.0,0.046052631578947366
19,0,37.0,37.0,0.04868421052631579
